"Gene" "C1" "C2" "C3" "h1" "h2" "h3"
"1" "alignment_not_unique" 3535640 4823456 3085706 3260388 2667555 3389982
"2" "ambiguous" 903433 1205942 900287 952781 708989 1005683
"3" "AT1G01010" 348 400 347 322 245 334
"4" "AT1G01020" 549 763 562 561 412 610
"5" "AT1G01030" 7 18 24 17 14 15
"6" "AT1G01040" 2686 3710 2456 2789 2214 3141
"7" "AT1G01046" 0 0 0 0 0 0
"8" "AT1G01050" 2993 3589 2958 2958 2120 2982
"9" "AT1G01060" 140 132 63 148 57 71
"10" "AT1G01070" 1106 1303 1072 1256 909 1260
"11" "AT1G01073" 0 0 0 0 0 0
"12" "AT1G01080" 1875 2216 1816 1499 1198 1811
"13" "AT1G01090" 5884 7170 5836 5216 4365 5513
"14" "AT1G01100" 12722 15874 13361 11238 8857 12329
"15" "AT1G01110" 233 264 254 176 132 228
"16" "AT1G01115" 0 0 0 0 0 0
"17" "AT1G01120" 6235 7291 5776 3809 3587 4537
"18" "AT1G01130" 319 433 335 239 185 240
"19" "AT1G01140" 2700 3534 2932 2403 1719 2733
"20" "AT1G01150" 9 12 14 8 4 10
"21" "AT1G01160" 1280 1804 1532 1419 1184 1475
"22" "AT1G01170" 1547 1858 1636 1513 1260 1744
"23" "AT1G01180" 66 69 64 57 50 61
"24" "AT1G01183" 0 0 1 2 1 0
"25" "AT1G01190" 13 24 12 5 10 6
"26" "AT1G01200" 82 115 82 103 60 91
"27" "AT1G01210" 463 586 445 443 322 465
"28" "AT1G01220" 1517 2095 1615 1753 1285 1822
"29" "AT1G01225" 305 410 306 304 261 334
"30" "AT1G01230" 999 1267 1145 1010 824 1182
"31" "AT1G01240" 3781 4952 4084 3530 2873 3799
"32" "AT1G01250" 475 524 413 822 542 742
"33" "AT1G01260" 1374 1728 1379 1302 996 1325
"34" "AT1G01270" 0 0 0 0 0 0
"35" "AT1G01280" 0 0 0 0 0 0
"36" "AT1G01290" 622 894 680 673 555 784
"37" "AT1G01300" 5960 8039 6132 6088 4945 7350
"38" "AT1G01305" 11 20 29 17 8 17
"39" "AT1G01310" 140 337 69 206 149 243
"40" "AT1G01320" 14827 18204 14773 12715 10336 13292
