"Gene" "WT1" "WT2" "MC_LerCol_11" "MC_LerCol_12" "MC_kypCol_12" "seedCoat_WT"
"1" "AT1G01010" 15 5 16 5 7 12
"2" "AT1G01020" 7 4 13 26 6 4
"3" "AT1G01020" 9 6 13 27 6 4
"4" "AT1G01030" 0 0 4 2 1 2
"5" "AT1G01040" 171 85 135 313 449 265
"6" "AT1G01046" 0 0 1 0 0 2
"7" "AT1G01050" 61 25 28 85 123 58
"8" "AT1G01060" 139 49 11 13 89 0
"9" "AT1G01060" 139 52 11 14 90 0
"10" "AT1G01060" 115 38 11 13 81 0
"11" "AT1G01060" 139 49 11 13 89 0
"12" "AT1G01070" 0 0 3 0 0 1
"13" "AT1G01070" 0 0 3 0 0 1
"14" "AT1G01080" 32 51 31 87 48 42
"15" "AT1G01080" 32 51 31 87 48 42
"16" "AT1G01090" 1417 1293 699 1274 2204 878
"17" "AT1G01100" 2368 2552 1334 3085 3739 1048
"18" "AT1G01100" 2383 2563 1345 3109 3757 1060
"19" "AT1G01100" 2301 2497 1307 3048 3669 1030
"20" "AT1G01100" 2368 2557 1340 3086 3740 1053
"21" "AT1G01110" 13 45 1 6 8 2
"22" "AT1G01110" 13 48 2 7 8 3
"23" "AT1G01120" 91 40 74 101 251 147
"24" "AT1G01130" 49 2 12 16 48 26
"25" "AT1G01140" 485 21 34 222 108 104
"26" "AT1G01140" 488 21 34 222 109 104
"27" "AT1G01140" 487 21 34 224 109 105
"28" "AT1G01150" 2 1 0 0 0 3
"29" "AT1G01160" 675 277 378 790 740 353
"30" "AT1G01170" 190 75 103 252 226 105
"31" "AT1G01170" 190 75 103 252 226 105
"32" "AT1G01180" 1 4 1 0 0 2
"33" "AT1G01183" 0 0 0 0 0 0
"34" "AT1G01190" 0 0 0 0 0 0
"35" "AT1G01200" 0 0 0 0 0 0
"36" "AT1G01210" 20 46 19 113 44 13
"37" "AT1G01220" 57 29 25 116 137 73
"38" "AT1G01225" 22 12 9 20 33 38
"39" "AT1G01230" 32 16 27 51.5 25 28
"40" "AT1G01240" 1 1 77 65 72 80
"41" "AT1G01240" 1 1 77 65 72 80
"42" "AT1G01240" 1 1 77 65 72 82
"43" "AT1G01250" 13 0 5 1 35 6
"44" "AT1G01260" 34 34 16 45 37 40
"45" "AT1G01260" 33 34 16 44 35 38
