"Gene" "col1" "col2" "bzr1" "bzr2" "pifq1" "pifq2" "pifq.bzr1" "pifq.bzr2"
"1" "ambiguous" 727214 433175 553092 521322 543534 510857 656994 351040
"2" "AT1G01010" 711 420 475 477 342 347 364 162
"3" "AT1G01020" 676 386 389 384 610 520 642 322
"4" "AT1G01030" 238 150 131 130 217 191 244 110
"5" "AT1G01040" 2536 1413 2254 2154 2119 2063 2797 1554
"6" "AT1G01046" 48 34 50 72 38 33 80 35
"7" "AT1G01050" 3191 1878 1786 1589 2116 1776 2169 1133
"8" "AT1G01060" 1633 960 1181 1042 804 743 899 481
"9" "AT1G01070" 385 217 246 277 82 101 139 58
"10" "AT1G01073" 0 0 0 0 0 0 0 0
"11" "AT1G01080" 2142 1254 1547 1399 2769 2589 2261 1231
"12" "AT1G01090" 6255 3585 4762 4427 5198 4745 5641 3274
"13" "AT1G01100" 5203 3325 2600 2490 4245 4290 3391 1924
"14" "AT1G01110" 209 148 143 147 79 67 86 55
"15" "AT1G01115" 0 0 0 0 0 0 0 0
"16" "AT1G01120" 1287 845 4962 4769 617 532 980 574
"17" "AT1G01130" 54 28 46 44 31 29 38 16
"18" "AT1G01140" 2482 1386 1385 1329 1438 1407 1447 857
"19" "AT1G01150" 4 5 2 0 0 0 0 0
"20" "AT1G01160" 1249 718 807 707 763 778 934 538
"21" "AT1G01170" 2544 1573 1650 1474 1500 1541 2133 1167
"22" "AT1G01180" 544 348 705 602 291 296 447 263
"23" "AT1G01183" 1 1 1 1 1 1 0 1
"24" "AT1G01190" 26 30 32 28 9 6 9 16
"25" "AT1G01200" 52 29 62 42 18 25 11 5
"26" "AT1G01210" 447 268 237 220 434 412 371 209
"27" "AT1G01220" 725 406 515 527 640 587 578 297
"28" "AT1G01225" 35 30 44 41 50 50 48 31
"29" "AT1G01230" 1066 643 846 849 537 517 718 378
"30" "AT1G01240" 1085 683 1034 867 603 583 757 398
"31" "AT1G01250" 8 7 2 3 2 6 5 1
"32" "AT1G01260" 937 564 680 622 465 438 522 280
"33" "AT1G01270" 0 0 0 0 0 0 0 0
"34" "AT1G01280" 0 0 0 0 0 0 0 0
"35" "AT1G01290" 656 374 421 338 382 369 407 224
"36" "AT1G01300" 2516 1544 1478 1460 1642 1633 1630 975
"37" "AT1G01305" 0 0 0 0 0 0 0 0
"38" "AT1G01310" 2 1 2 3 1 0 1 0
"39" "AT1G01320" 15384 8340 10232 10531 17873 17391 14832 8417
"40" "AT1G01340" 766 440 534 514 572 476 900 526
"41" "AT1G01350" 961 616 642 664 626 607 750 405
"42" "AT1G01355" 15 1 8 8 5 6 3 4
"43" "AT1G01360" 659 384 549 510 302 348 438 205
"44" "AT1G01370" 33 24 26 31 33 27 15 12
"45" "AT1G01380" 58 35 42 28 27 20 22 11
"46" "AT1G01390" 1329 716 1209 1139 721 723 703 396
"47" "AT1G01400" 0 0 0 1 0 0 0 0
"48" "AT1G01410" 0 0 0 0 0 0 0 0
"49" "AT1G01420" 226 146 227 269 179 194 221 107
"50" "AT1G01430" 2462 1520 1678 1612 2059 1956 2453 1388
"51" "AT1G01440" 921 536 824 735 595 567 801 387
"52" "AT1G01448" 702 430 490 438 444 411 594 306
"53" "AT1G01450" 3 1 3 2 3 1 1 0
"54" "AT1G01453" 7 2 2 3 1 1 0 0
"55" "AT1G01460" 0 0 0 0 0 0 0 0
"56" "AT1G01470" 1334 847 643 578 395 388 278 153
"57" "AT1G01471" 0 0 0 1 0 0 0 0
"58" "AT1G01480" 26 17 35 49 7 9 30 19
"59" "AT1G01490" 2231 1275 2532 2438 1529 1266 2188 1165
"60" "AT1G01500" 319 223 264 249 244 250 240 117
"61" "AT1G01510" 2009 1169 1148 1119 1265 1155 1522 835
"62" "AT1G01520" 4 4 0 0 4 3 1 2
"63" "AT1G01530" 0 0 0 0 1 1 0 0
"64" "AT1G01540" 3895 2397 2415 2316 2280 2324 3467 1883
"65" "AT1G01550" 5362 3198 5502 5066 3615 3325 4549 2446
"66" "AT1G01560" 3 3 7 6 10 9 24 17
"67" "AT1G01570" 60 27 55 48 42 47 30 38
"68" "AT1G01580" 45 30 49 41 366 348 233 123
"69" "AT1G01590" 29 16 7 15 20 20 24 19
"70" "AT1G01600" 127 84 544 545 33 35 46 24
"71" "AT1G01610" 1263 766 1081 1089 1088 998 1185 657
"72" "AT1G01620" 15758 9758 21648 19699 5889 5636 12782 7427
"73" "AT1G01630" 796 571 830 762 510 466 477 252
"74" "AT1G01640" 522 320 403 396 188 148 204 128
"75" "AT1G01650" 2063 1216 1318 1176 904 943 1092 577
"76" "AT1G01660" 18 8 8 6 14 12 6 1
"77" "AT1G01670" 32 16 11 12 16 15 12 8
"78" "AT1G01680" 2 1 5 8 0 0 9 4
"79" "AT1G01690" 89 61 83 65 53 68 56 32
"80" "AT1G01695" 5 5 3 3 3 1 4 2
"81" "AT1G01700" 70 32 53 49 56 42 54 30
"82" "AT1G01710" 1132 638 929 832 727 720 814 481
"83" "AT1G01720" 2246 1372 1501 1406 1009 1003 1235 711
"84" "AT1G01725" 493 305 185 187 319 288 410 233
"85" "AT1G01730" 985 565 624 560 599 506 702 393
"86" "AT1G01740" 136 94 79 85 118 112 102 59
"87" "AT1G01750" 69 51 24 30 50 67 28 17
"88" "AT1G01760" 176 92 135 150 161 152 178 95
"89" "AT1G01770" 2673 1571 2391 2308 1265 1113 1759 908
"90" "AT1G01780" 1345 859 1272 1129 524 490 687 366
"91" "AT1G01790" 1876 1095 1644 1540 2983 2880 2352 1300
"92" "AT1G01800" 1763 1014 1521 1452 1032 979 1316 719
"93" "AT1G01810" 8 1 11 7 5 4 3 4
"94" "AT1G01820" 2742 1590 2339 1988 1712 1600 2247 1312
"95" "AT1G01830" 657 405 508 500 242 248 260 168
"96" "AT1G01840" 7 6 8 5 15 5 4 8
"97" "AT1G01860" 388 222 274 237 381 379 381 203
"98" "AT1G01870" 0 0 0 0 0 0 0 0
"99" "AT1G01880" 26 20 37 39 16 23 36 19
"100" "AT1G01890" 1 0 0 0 0 0 0 0
"101" "AT1G01900" 48 35 98 90 41 37 53 35
"102" "AT1G01910" 1322 790 914 868 929 893 954 515
"103" "AT1G01920" 734 395 323 346 629 605 466 303
"104" "AT1G01930" 723 453 522 441 514 501 589 338
"105" "AT1G01940" 195 131 177 152 152 181 167 89
"106" "AT1G01950" 1512 833 972 1008 739 726 780 420
"107" "AT1G01960" 5798 3219 3687 3659 3514 3424 4172 2346
"108" "AT1G01970" 997 582 681 649 1138 1022 1048 593
"109" "AT1G01980" 0 1 0 3 2 0 1 0
"110" "AT1G01990" 743 430 510 479 559 534 599 354
"111" "AT1G02000" 248 130 260 232 179 167 222 114
"112" "AT1G02010" 943 545 702 620 441 427 803 473
"113" "AT1G02020" 504 287 429 386 326 356 395 189
"114" "AT1G02030" 5 3 13 5 4 1 3 1
"115" "AT1G02040" 4 1 6 0 2 0 1 1
"116" "AT1G02050" 496 314 255 286 511 464 460 269
"117" "AT1G02060" 541 330 325 316 494 531 485 287
"118" "AT1G02065" 0 3 1 0 1 5 0 0
"119" "AT1G02070" 58 39 14 6 3 4 3 2
"120" "AT1G02074" 2 0 5 3 2 0 0 0
"121" "AT1G02080" 6651 3661 4658 4737 4098 4105 4690 2744
"122" "AT1G02090" 836 498 600 577 697 693 597 313
"123" "AT1G02100" 3031 1891 2111 1949 2043 1913 2457 1385
"124" "AT1G02110" 1036 648 693 735 956 956 832 531
"125" "AT1G02120" 2885 1710 2355 2302 2280 2210 2610 1398
"126" "AT1G02130" 1143 739 1163 977 786 720 866 455
