"Gene" "GSM1054005" "GSM1054006" "GSM1054007" "GSM1054008" "GSM1104060" "GSM1104061" "GSM1104062" "GSM1104063" "GSM1053997_GSM1054001" "GSM1053998_GSM1054002" "GSM1053999_GSM1054003" "GSM1054000_GSM1054004" "GSM1104064" "GSM1104065"
"1" "AT1G01010" 65 64 47 38 47 67 138 126 116 74 54 54 5 3
"2" "AT1G01020" 2 8 7 3 134 167 138 152 81 11 11 2 16 2
"3" "AT1G01030" 4 4 15 3 31 30 33 34 104 12 17 2 1 3
"4" "AT1G01040" 768 247 457 471 711 702 739 627 581 483 415 394 129 70
"5" "AT1G01046" 5 1 5 4 1 3 1 0 2 3 0 0 0 0
"6" "AT1G01050" 1276 803 954 797 1653 1797 1525 1574 2030 2033 1685 2106 309 383
"7" "AT1G01060" 405 74 111 304 4249 3322 3147 4539 526 521 249 436 9 209
"8" "AT1G01070" 0 0 10 1 13 21 18 35 21 0 8 5 1 0
"9" "AT1G01073" 0 0 0 0 0 0 0 0 6 0 1 0 0 0
"10" "AT1G01080" 191 94 156 108 908 825 903 1036 260 220 228 185 56 118
"11" "AT1G01090" 4010 2249 3463 3202 3097 2642 3091 2989 3065 3250 3706 3515 344 390
"12" "AT1G01100" 4697 3673 4266 4224 8120 5815 7469 7132 3443 3657 4691 5256 688 500
"13" "AT1G01110" 18 5 4 12 91 50 53 108 19 10 4 2 10 19
"14" "AT1G01115" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"15" "AT1G01120" 2364 700 1196 1307 3247 2964 3332 2310 943 900 596 504 100 143
"16" "AT1G01130" 72 31 17 22 68 35 38 39 36 45 19 14 6 1
"17" "AT1G01140" 1378 158 198 233 299 559 468 672 733 1058 179 427 179 217
"18" "AT1G01150" 0 1 0 0 1 0 0 1 10 0 2 1 0 0
"19" "AT1G01160" 877 479 497 491 783 726 737 670 552 562 448 368 57 36
"20" "AT1G01170" 111 73 94 106 915 1226 993 1051 146 138 150 104 131 124
"21" "AT1G01180" 13 9 41 33 25 72 39 9 20 5 36 31 5 1
"22" "AT1G01183" 0 0 0 0 0 0 0 2 0 1 1 1 0 0
"23" "AT1G01190" 0 1 0 1 16 4 5 1 31 2 13 1 0 5
"24" "AT1G01200" 1 0 3 5 140 109 121 106 5 0 4 1 4 5
"25" "AT1G01210" 88 45 29 38 188 167 404 305 74 69 103 96 4 7
"26" "AT1G01220" 430 163 310 238 518 537 277 256 338 343 309 324 14 23
"27" "AT1G01225" 100 55 61 59 102 78 99 69 114 111 118 133 12 20
"28" "AT1G01230" 313 285 291 299 340 554 529 424 791 810 1080 1106 60 45
"29" "AT1G01240" 88 77 114 59 125 248 190 86 164 109 119 104 86 62
"30" "AT1G01250" 17 6 8 22 2052 1206 1291 1263 14 8 11 16 142 195
"31" "AT1G01260" 380 174 253 231 222 296 243 224 310 355 349 317 43 35
"32" "AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" "AT1G01280" 0 0 1 0 0 0 0 0 2 0 0 0 0 0
"34" "AT1G01290" 178 90 91 114 241 308 204 180 261 296 302 328 24 20
"35" "AT1G01300" 3416 1560 1763 1679 4159 2602 2352 3108 1589 1525 690 702 538 219
"36" "AT1G01305" 0 0 2 0 130 68 178 156 6 1 0 2 0 0
"37" "AT1G01310" 8 4 8 7 83 25 21 31 9 2 8 3 42 360
"38" "AT1G01320" 1056 450 1227 793 2865 2556 1997 2460 639 653 389 417 375 429
"39" "AT1G01340" 18 6 25 11 15 10 18 18 14 12 5 8 5 26
"40" "AT1G01350" 427 270 278 292 338 473 337 334 448 468 404 408 59 65
"41" "AT1G01355" 5 3 10 16 1 6 13 11 6 1 12 11 19 2
"42" "AT1G01360" 149 95 68 81 144 299 291 229 182 226 126 182 19 76
"43" "AT1G01370" 122 86 95 89 148 92 93 130 89 120 96 100 26 27
"44" "AT1G01380" 4 0 1 0 5 6 3 3 17 0 5 1 0 0
"45" "AT1G01390" 2 0 1 0 1 2 4 0 16 0 2 3 0 0
"46" "AT1G01400" 0 0 1 0 0 0 0 0 2 0 2 0 0 0
"47" "AT1G01410" 0 0 1 0 0 0 0 0 11 0 2 0 1 1
"48" "AT1G01420" 206 85 350 342 25 43 151 102 227 177 616 838 1 1
"49" "AT1G01430" 3325 1293 1766 1610 1658 1833 1334 874 3273 3349 2472 2541 150 152
"50" "AT1G01440" 208 114 177 153 133 160 139 128 164 125 138 86 15 14
"51" "AT1G01448" 72 25 23 30 135 153 72 66 83 69 18 23 7 4
"52" "AT1G01450" 5 0 0 2 4 3 1 1 3 0 0 1 2 1
"53" "AT1G01453" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"54" "AT1G01460" 0 0 2 0 11 6 2 3 3 0 0 1 5 37
"55" "AT1G01470" 84 13 43 30 171 422 243 269 29 57 20 22 15 3
"56" "AT1G01471" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"57" "AT1G01480" 65 17 4 0 33 63 1 0 145 85 5 0 0 0
