"X" "Gene" "WT.1" "WT.2" "WT.3" "pif3.1" "pif3.2" "pif3.3" "pif145.1" "pif145.2" "pif145.3" "pifq.1" "pifq.2" "pifq.3"
"1" 1 "AT1G01010" 104 139 123 101 97 59 110 81 81 83 89 64
"2" 2 "AT1G01020" 175 162 92 100 125 78 157 82 66 89 158 69
"3" 3 "AT1G01030" 16 27 20 34 26 26 35 19 16 21 29 9
"4" 4 "AT1G01040" 129 156 86 68 130 54 90 107 66 74 146 40
"5" 5 "AT1G01046" 0 0 0 0 0 0 0 0 0 0 0 0
"6" 6 "AT1G01050" 2130 3060 2247 2355 3081 2347 2771 1946 1966 1661 3032 1521
"7" 7 "AT1G01060" 476 886 642 442 866 512 467 525 479 293 798 278
"8" 8 "AT1G01070" 88 145 122 104 135 104 96 98 82 56 126 81
"9" 9 "AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0
"10" 10 "AT1G01080" 1339 2178 1499 1326 2331 1631 2110 1760 1728 1431 3378 1731
"11" 11 "AT1G01090" 4686 5084 4413 5105 5008 4646 6928 3299 4147 4269 5312 3700
"12" 12 "AT1G01100" 54166 81608 89070 78856 113206 111534 96098 79320 97797 76672 150631 115571
"13" 13 "AT1G01110" 117 155 136 92 145 102 141 99 79 106 171 70
"14" 14 "AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0
"15" 15 "AT1G01120" 6816 5799 7250 8469 5872 6463 6703 2667 3637 2429 2620 1810
"16" 16 "AT1G01130" 0 0 0 0 0 0 0 0 0 0 0 0
"17" 17 "AT1G01140" 486 661 655 528 636 729 539 318 512 399 662 561
"18" 18 "AT1G01150" 0 0 0 0 1 2 6 0 0 0 0 1
"19" 19 "AT1G01160" 2432 2516 2790 2255 3304 3006 2298 1691 2135 1450 2676 2095
"20" 20 "AT1G01170" 2667 4388 4552 3389 4411 4873 3981 3105 4349 2417 4566 3878
"21" 21 "AT1G01180" 138 233 185 214 234 167 215 134 143 124 256 91
"22" 22 "AT1G01183" 0 0 0 0 0 0 0 0 0 0 0 0
"23" 23 "AT1G01190" 0 0 1 0 0 0 0 0 1 0 0 0
"24" 24 "AT1G01200" 151 189 179 111 146 130 115 123 89 44 94 57
"25" 25 "AT1G01210" 126 175 157 153 214 197 213 147 186 170 396 196
"26" 26 "AT1G01220" 315 240 245 230 255 195 264 149 178 188 224 145
"27" 27 "AT1G01225" 16 17 17 21 23 36 56 24 17 33 32 34
"28" 28 "AT1G01230" 5018 6912 5141 4159 7322 4764 4429 3699 3339 2089 5004 2450
"29" 29 "AT1G01240" 2088 1936 1663 1960 2059 2080 2032 955 1255 915 1241 761
"30" 30 "AT1G01250" 9 15 14 37 17 13 11 10 7 20 15 18
"31" 31 "AT1G01260" 276 305 246 343 303 232 305 116 127 139 152 112
"32" 32 "AT1G01270" 0 0 0 0 0 0 0 0 0 0 0 0
"33" 33 "AT1G01280" 0 0 0 0 0 0 0 0 0 0 0 0
"34" 34 "AT1G01290" 219 251 268 259 286 250 316 198 195 186 336 234
"35" 35 "AT1G01300" 5248 8996 7832 5866 9653 7686 7181 7528 7152 4619 10805 5733
"36" 36 "AT1G01305" 1 0 0 0 0 0 0 0 0 0 0 0
"37" 37 "AT1G01310" 2 2 4 9 3 5 7 3 8 2 3 13
"38" 38 "AT1G01320" 3103 3519 2331 2276 2745 1703 4153 2530 2086 2283 3826 1744
"39" 39 "AT1G01340" 54 131 96 57 111 78 105 67 61 37 106 25
"40" 40 "AT1G01350" 694 798 643 653 914 658 705 514 424 343 850 450
"41" 41 "AT1G01355" 3 1 4 0 2 0 3 1 2 2 3 0
"42" 42 "AT1G01360" 452 775 758 400 830 664 394 459 445 176 545 226
"43" 43 "AT1G01370" 348 300 261 287 375 304 406 260 242 262 563 259
"44" 44 "AT1G01380" 499 1048 1098 408 667 668 705 674 768 354 945 585
"45" 45 "AT1G01390" 76 97 150 106 71 241 123 69 184 48 49 69
"46" 46 "AT1G01400" 0 0 0 0 0 0 0 0 0 0 0 0
"47" 47 "AT1G01410" 0 0 0 0 0 0 0 0 0 0 0 0
"48" 48 "AT1G01420" 59 140 360 54 148 458 64 104 296 33 82 149
"49" 49 "AT1G01430" 685 1097 1355 879 1020 1279 1024 704 1011 655 1099 965
"50" 50 "AT1G01440" 64 100 97 60 103 52 88 58 36 55 90 53
"51" 51 "AT1G01448" 84 57 42 60 80 49 56 20 30 25 49 17
"52" 52 "AT1G01450" 0 0 0 0 0 0 0 0 0 0 0 0
"53" 53 "AT1G01453" 7 15 9 8 6 5 7 7 6 0 17 3
"54" 54 "AT1G01460" 0 0 0 0 0 0 0 0 0 0 0 0
"55" 55 "AT1G01470" 769 1550 1429 895 1266 1103 694 755 676 290 683 387
"56" 56 "AT1G01471" 0 0 0 0 0 0 0 0 0 0 0 0
"57" 57 "AT1G01480" 26 47 43 23 37 36 29 36 37 17 39 31
"58" 58 "AT1G01490" 1202 2017 1661 1196 2131 1721 1451 1134 1207 772 1855 882
"59" 59 "AT1G01500" 153 267 250 183 289 242 201 162 173 137 259 152
"60" 60 "AT1G01510" 1410 2234 2360 1657 2582 2428 1549 1461 1640 1050 2227 1313
"61" 61 "AT1G01520" 5 1 2 12 13 2 9 0 0 1 2 0
"62" 62 "AT1G01530" 0 0 0 0 0 0 0 0 0 0 0 0
"63" 63 "AT1G01540" 306 932 629 372 584 542 391 433 540 303 711 339
"64" 64 "AT1G01550" 6911 7283 7411 6013 7354 7099 7172 4120 4739 3612 6701 4399
"65" 65 "AT1G01560" 0 3 1 1 0 0 0 1 1 0 3 1
"66" 66 "AT1G01570" 6 11 10 15 15 23 41 5 6 15 16 8
"67" 67 "AT1G01580" 18 25 16 34 39 25 40 18 8 24 33 11
"68" 68 "AT1G01590" 0 2 1 0 0 1 4 0 0 0 1 0
"69" 69 "AT1G01600" 126 97 144 112 124 125 138 70 115 38 63 39
"70" 70 "AT1G01610" 311 370 350 395 316 305 530 248 302 369 384 216
"71" 71 "AT1G01620" 233786 343490 291115 299442 357942 272934 207887 149913 141210 112506 181028 90643
"72" 72 "AT1G01630" 75 120 66 110 65 55 132 47 59 66 98 44
"73" 73 "AT1G01640" 44 41 41 38 45 35 54 22 22 24 20 27
"74" 74 "AT1G01650" 365 352 307 344 329 200 268 180 178 144 239 114
"75" 75 "AT1G01660" 5 3 9 5 4 6 3 3 3 0 7 1
"76" 76 "AT1G01670" 1 3 0 0 1 0 3 1 1 3 1 3
"77" 77 "AT1G01680" 2 10 66 0 5 21 1 3 34 0 8 3
"78" 78 "AT1G01690" 43 31 26 44 38 48 86 18 28 36 58 42
"79" 79 "AT1G01695" 1 0 1 2 5 2 1 3 0 0 3 0
"80" 80 "AT1G01700" 6 12 9 9 6 8 9 8 11 13 14 8
"81" 81 "AT1G01710" 17 9 15 22 25 8 14 13 19 12 16 17
"82" 82 "AT1G01720" 471 770 910 600 833 962 511 449 614 277 561 407
"83" 83 "AT1G01725" 0 0 0 0 0 0 0 0 0 0 0 0
"84" 84 "AT1G01730" 235 190 281 308 212 314 310 111 199 199 181 168
"85" 85 "AT1G01740" 4 1 1 2 4 3 5 2 1 4 4 4
"86" 86 "AT1G01750" 805 1618 1106 878 1380 1120 1439 1352 1215 814 2473 1458
"87" 87 "AT1G01760" 3 5 5 5 7 8 1 6 2 1 2 1
"88" 88 "AT1G01770" 227 494 717 165 400 579 150 260 417 92 340 270
"89" 89 "AT1G01780" 331 502 525 370 341 423 359 166 223 132 153 93
"90" 90 "AT1G01790" 251 346 264 273 260 263 418 199 275 241 338 219
"91" 91 "AT1G01800" 2387 3065 2377 2730 3219 2327 2878 1977 2047 1583 2694 1424
"92" 92 "AT1G01810" 27 43 55 18 51 53 32 26 41 23 47 42
"93" 93 "AT1G01820" 1188 1418 1233 1145 1479 1091 1228 819 799 645 1228 663
"94" 94 "AT1G01830" 126 227 316 163 251 381 121 116 182 74 154 153
"95" 95 "AT1G01840" 38 45 34 27 39 45 38 27 36 49 50 41
"96" 96 "AT1G01860" 223 253 156 122 232 171 276 159 167 167 289 170
