"Gene" "BPrep1" "BPrep2" "BPrep3" "WTrep1" "WTrep2" "WTrep3"
"1" "AT1G01010" 81 50 133 66 134 209
"2" "AT1G01020" 9 5 16 5 10 31
"3" "AT1G01030" 53 54 154 89 167 135
"4" "AT1G01040" 657 479 1217 586 979 1165
"5" "AT1G01046" 0 2 3 1 2 2
"6" "AT1G01050" 27 26 48 20 27 31
"7" "AT1G01060" 232 1283 3071 1335 1878 449
"8" "AT1G01070" 111 77 224 52 123 108
"9" "AT1G01073" 0 0 0 0 0 0
"10" "AT1G01080" 454 386 830 294 649 873
"11" "AT1G01090" 2060 1863 4448 2010 3077 3302
"12" "AT1G01100" 388 351 858 338 611 826
"13" "AT1G01110" 61 33 104 51 54 94
"14" "AT1G01115" 0 0 0 0 0 0
"15" "AT1G01120" 893 796 1820 996 1552 1693
"16" "AT1G01130" 13 4 19 9 22 20
"17" "AT1G01140" 91 53 140 97 104 106
"18" "AT1G01150" 0 0 0 0 0 0
"19" "AT1G01160" 141 88 229 84 125 184
"20" "AT1G01170" 182 94 227 96 151 287
"21" "AT1G01180" 103 69 179 82 111 178
"22" "AT1G01183" 0 0 0 0 0 0
"23" "AT1G01190" 165 95 342 187 194 391
"24" "AT1G01200" 28 19 74 20 30 48
"25" "AT1G01210" 47 34 71 31 64 55
"26" "AT1G01220" 377 310 710 301 473 609
"27" "AT1G01225" 42 33 116 28 30 56
"28" "AT1G01230" 197 109 297 129 162 224
"29" "AT1G01240" 733 331 881 306 474 654
"30" "AT1G01250" 50 24 84 30 90 50
"31" "AT1G01260" 407 280 749 357 582 694
"32" "AT1G01270" 0 0 0 0 0 0
"33" "AT1G01280" 0 0 0 0 0 0
"34" "AT1G01290" 195 107 388 150 295 395
"35" "AT1G01300" 820 626 1514 592 1043 1416
"36" "AT1G01305" 0 0 0 0 0 0
"37" "AT1G01310" 0 0 2 0 1 2
"38" "AT1G01320" 4623 3746 9310 3732 6821 7770
"39" "AT1G01340" 24 25 44 33 46 56
"40" "AT1G01350" 245 153 439 181 353 478
"41" "AT1G01355" 1 0 0 0 1 0
"42" "AT1G01360" 116 69 207 100 185 200
"43" "AT1G01370" 8 3 10 5 4 14
"44" "AT1G01380" 5 4 7 6 8 9
"45" "AT1G01390" 53 44 111 31 47 49
"46" "AT1G01400" 0 0 0 0 0 0
"47" "AT1G01410" 0 0 0 0 0 0
"48" "AT1G01420" 163 118 326 164 284 337
"49" "AT1G01430" 714 476 1257 670 1036 1266
"50" "AT1G01440" 307 176 422 197 338 429
"51" "AT1G01448" 102 70 147 59 120 151
"52" "AT1G01450" 7 6 15 5 14 15
"53" "AT1G01453" 86 23 74 44 40 56
"54" "AT1G01460" 0 0 0 0 0 0
"55" "AT1G01470" 721 444 817 314 541 542
"56" "AT1G01471" 0 0 0 0 0 0
"57" "AT1G01480" 45 39 71 54 98 85
"58" "AT1G01490" 781 665 1392 638 1072 1187
"59" "AT1G01500" 245 89 269 138 327 541
"60" "AT1G01510" 405 328 808 364 633 745
"61" "AT1G01520" 3 6 12 9 9 5
"62" "AT1G01530" 1 0 0 0 0 1
"63" "AT1G01540" 481 355 938 394 682 732
"64" "AT1G01550" 2422 1337 3540 1803 3487 4542
"65" "AT1G01560" 17 4 13 7 18 23
"66" "AT1G01570" 21 15 64 21 55 52
"67" "AT1G01580" 58 142 200 57 34 80
"68" "AT1G01590" 1 1 4 2 0 1
"69" "AT1G01600" 152 109 280 80 157 224
"70" "AT1G01610" 822 728 1635 759 1263 1437
"71" "AT1G01620" 2747 2532 5507 2522 2877 3348
"72" "AT1G01630" 269 183 461 261 523 615
"73" "AT1G01640" 112 35 104 67 117 154
"74" "AT1G01650" 157 86 204 99 166 179
"75" "AT1G01660" 9 4 21 8 19 16
"76" "AT1G01670" 14 5 20 4 18 19
"77" "AT1G01680" 2 1 2 0 1 2
"78" "AT1G01690" 12 9 29 11 18 23
"79" "AT1G01695" 5 2 12 3 12 5
"80" "AT1G01700" 11 10 19 8 20 15
"81" "AT1G01710" 57 22 78 38 72 83
"82" "AT1G01720" 935 670 1842 881 1747 1996
"83" "AT1G01725" 43 23 58 28 92 111
"84" "AT1G01730" 160 132 304 187 321 435
"85" "AT1G01740" 27 12 35 27 35 38
"86" "AT1G01750" 88 59 154 74 62 100
"87" "AT1G01760" 4 8 18 5 12 21
"88" "AT1G01770" 128 69 195 75 131 205
"89" "AT1G01780" 126 68 221 62 112 148
"90" "AT1G01790" 913 627 1820 857 1209 1211
"91" "AT1G01800" 493 264 788 443 866 1077
"92" "AT1G01810" 11 3 20 8 21 28
"93" "AT1G01820" 64 20 70 25 45 127
"94" "AT1G01830" 402 220 613 318 641 699
"95" "AT1G01840" 31 27 47 23 36 36
"96" "AT1G01860" 63 31 81 30 55 87
"97" "AT1G01870" 0 0 0 0 0 0
"98" "AT1G01880" 11 7 20 9 15 21
"99" "AT1G01890" 0 0 0 0 0 0
"100" "AT1G01900" 206 132 443 127 255 205
"101" "AT1G01910" 248 152 406 191 268 361
"102" "AT1G01920" 15 7 35 15 22 43
"103" "AT1G01930" 159 112 238 119 201 302
"104" "AT1G01940" 33 18 55 17 38 54
"105" "AT1G01950" 44 45 96 45 69 95
"106" "AT1G01960" 1841 1237 3252 1537 2677 3149
"107" "AT1G01970" 394 249 726 256 511 589
"108" "AT1G01980" 0 0 0 0 0 0
"109" "AT1G01990" 364 172 532 234 535 602
"110" "AT1G02000" 302 184 522 233 367 420
"111" "AT1G02010" 16 20 40 12 6 16
"112" "AT1G02020" 358 247 596 229 442 643
"113" "AT1G02030" 17 8 20 10 15 17
"114" "AT1G02040" 0 1 1 0 3 4
"115" "AT1G02050" 134 96 239 99 202 206
"116" "AT1G02060" 162 123 262 169 306 330
"117" "AT1G02065" 66 23 100 35 77 147
"118" "AT1G02070" 3 5 5 1 6 7
"119" "AT1G02074" 0 0 0 0 0 0
"120" "AT1G02080" 629 418 1028 506 1057 1156
"121" "AT1G02090" 60 56 101 51 66 86
"122" "AT1G02100" 80 60 157 56 101 126
"123" "AT1G02110" 368 289 685 272 512 547
"124" "AT1G02120" 290 166 481 219 351 421
"125" "AT1G02130" 165 108 251 117 183 265
"126" "AT1G02140" 437 333 825 311 608 809
"127" "AT1G02145" 4 3 13 6 6 8
"128" "AT1G02150" 1646 1165 2807 1095 2006 2666
"129" "AT1G02160" 59 27 69 27 63 94
